// Created by Greg Landrum, October 2006
// Updated at RDKit UGM 2022 by Alex Müller, Jan Wollschläger and Rasmus Mejborg Borup
//
//  Format: Name\tSmarts\tLabel\tRemovalReaction (optional)
//
//  NOTES:
//     1) be sure to make the distinguishing feature of the functional group
//        the first atom in the pattern
//     2) the RemovalReaction (if present) is used to remove the functional
//        group from the molecule. This is necessary for cases like boronic
//        ethers where the full functional group cannot be specified in SMARTS.
//

AcidChloride	[#6;X3;!R](=[#8])[#17]
  AcidChloride.Aromatic	[$([#6;X3;!R][#6;a])](=[#8])[#17]
  AcidChloride.Aliphatic	[$([#6;X3;!R][#6;A])](=[#8])[#17]
	
CarboxylicAcid	[#6;X3;!R](=[#8])[#8;H1,-]
  CarboxylicAcid.Aromatic	[$([#6;X3;!R][#6;a])](=[#8])[#8;H1,-]
  CarboxylicAcid.Aliphatic	[$([#6;X3;!R][#6;A])](=[#8])[#8;H1,-]
  CarboxylicAcid.AlphaAmino	[$([#6;X3;!R]-[#6;!$([#6]=[!#6])]-[#7;!H0;!$([#7]-[!#6;!#1]);!$([#7]-[#6]=[#8,#7,#16])])](=[#8])([#8;H1,-])
	
SulfonylHalogen	[$([#16][#6])](=[#8])(=[#8])([#9,#17,#35,#53])
  SulfonylHalogen.Chloride	[$([#16][#6])](=[#8])(=[#8])([#17])
    SulfonylHalogen.Chloride.Aromatic	[$([#16][#6;a])](=[#8])(=[#8])([#17])
    SulfonylHalogen.Chloride.Aliphatic	[$([#16][#6;A])](=[#8])(=[#8])([#17])
  SulfonylHalogen.Fluoride	[$([#16][#6])](=[#8])(=[#8])([#9])
    SulfonylHalogen.Fluoride.Aromatic	[$([#16][#6;a])](=[#8])(=[#8])([#9])
    SulfonylHalogen.Fluoride.Aliphatic	[$([#16][#6;A])](=[#8])(=[#8])([#9])
	
Amine	[#7;!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6])]
  Amine.Primary	[#7;H2;D1;!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Primary.Aliphatic	[#7;H2;D1;$([#7][#6;A]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Primary.Aromatic	[#7;H2;D1;$([#7][#6;a]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
  Amine.Secondary	[#7;H1;D2;!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Secondary.Aliphatic	[#7;H1;D2;$([#7][#6;A]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Secondary.Aromatic	[#7;H1;D2;$([#7][#6;a]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
  Amine.Tertiary	[#7;H0;D3;!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Tertiary.Aliphatic	[#7;H0;D3;$([#7][#6;A]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
    Amine.Tertiary.Aromatic	[#7;H0;D3;$([#7][#6;a]);!$([#7]~[!#1!#6]);!$([#7][#6]~[!#1!#6]);!$([#7]@[*])]
	
Ammonium.Quaternary	[#7;X4]
	
BoronicAcid	[$([#5]-!@[#6])]([#8])([#8])
  BoronicAcid.Aromatic	[$([#5]-!@[#6;a])]([#8])([#8])
  BoronicAcid.Aliphatic	[$([#5]-!@[#6;A])]([#8])([#8])
	
Isocyanate	[$([#7]-!@[#6])](=!@[#6]=!@[#8])
  Isocyanate.Aromatic	[$([#7]-!@[#6;a])](=!@[#6]=!@[#8])
  Isocyanate.Aliphatic	[$([#7]-!@[#6;A])](=!@[#6]=!@[#8])
	
Isothiocyanate	[$([#7]-!@[#6])](=!@[#6]=!@[#16])
