# definitions from https://docs.chemaxon.com/display/docs/attachments/attachments_1829721_1_functionalgroups.cxsmi
# NAME	SMARTS
acetal	[OX2:2][CX4;!$(CO~[!#6]):1][OX2:3]
acid halide	[CX3:1](=[OX1:2])[F,Cl,Br,I:3]
alcohol	[C:1][OH;!$(OC~[!#1!#6]):2]
aldehyde	[CX3H1,H2:1]=[OX1;!$(O=C~[!#1!#6]):2]
aldoxime	[CH1:1]=[N:2][OH1:3]
aliphatic	[A:1]
aliphatic amine	[CX4:1][NX3;!$(NC~[!#1!#6!F!Cl!Br!I]);!$(N~[!#1!#6]);!$(Nc):2]
aliphatic hetero	[!#1!#6;A:1]
alkali metal	[Li,Na,K,Rb,Cs,Fr:1]
alkaline earth metal	[Be,Mg,Ca,Sr,Ba,Ra:1]
alkene	[C:1]=[C:1]
allene	[CX2:1](=[C:2])=[C:2]
allyl	[CH2:3]=[CH:2][CH2:1]
alkoxide	[C:1][O-;!$(OC~[!#1!#6]):2]
alkoxy	[C:1][OX2H0;!$(OC~[!#1!#6]):2]
alkyne	[CX2:1]#[CX2:1]
alkyl halide	[CX4:1][F,Cl,Br,I;!$([F,Cl,Br,I]C~[!#1!#6]):2]
amide	[NX3:2][CX3:1]=[OX1:3]
amidine	[NX3:3][C:1]=[NX2:2]
amine	[#6:1][NX3;!$(NC~[!#1!#6!F!Cl!Br!I]);!$(N~[!#1!#6]):2]
ammonium	[#6:1][NX4+:2]
anhydride	[CX3:1](=[OX1:2])[OX2:3][CX3:1]=[OX1:2]
aniline	[c:1][NX3;!$(NC~[!#1!#6]);!$(N~[!#1!#6]):2]
any atom	[*:1]
aromatic	[a:1]
aromatic hetero	[!#1!#6;a:1]
aryl halide	[cX3:1][F,Cl,Br,I:2]
aziridine	[C:1]1[C:1][N:2]1
azo	[#6:2]\[N;X2:1]=[N;X2:1]\[#6:2]
azosulfone	[N;X2:2]=[N;X2:3][S;X4:1](=[O:5])=[O:4]
azoxy	[#6:1][$([NX2:2]=[NX3+:3]([O-:4])[#6:5]),$([NX2:2]=[NX3+0:3](=[O:4])[#6:5])]
